**********************************************
* Logging started at ÖÜÈÕ 1ÔÂ 28 22:01:02 2024
* By flac3d Version 7.00 Release 126
* 
* 
* Job Title: 
**********************************************
flac3d>zone list stress range position-x 0 500 position-y 0 300 position-z 14.9 17.1
Zone total stress tensor.
     ID            XX            YY            ZZ            XY            YZ            XZ 
------- ------------- ------------- ------------- ------------- ------------- ------------- 
 158213 -1.909133e+07 -1.908333e+07 -1.526764e+07  7.433780e+02  2.329738e+03 -5.580486e+04 
 158214 -1.888238e+07 -1.895739e+07 -1.631592e+07 -5.066627e+04 -6.819501e+04  5.798644e+03 
 158215 -1.893872e+07 -1.901827e+07 -1.620275e+07  3.679793e+04 -5.390123e+04 -2.489305e+05 
 158216 -1.907441e+07 -1.905852e+07 -1.564814e+07  3.528494e+04 -5.021463e+04 -4.907074e+04 
 158217 -1.904048e+07 -1.906914e+07 -1.565354e+07  2.016178e+04 -3.333768e+04 -7.024452e+04 
 158218 -1.905519e+07 -1.907477e+07 -1.558472e+07  1.181400e+04 -2.103574e+04 -5.197889e+04 
 158219 -1.905636e+07 -1.907728e+07 -1.554495e+07  7.006470e+03 -1.166014e+04 -3.643927e+04 
 158220 -1.905687e+07 -1.907848e+07 -1.551435e+07  4.138381e+03 -5.173892e+03 -2.375054e+04 
 158221 -1.904976e+07 -1.907910e+07 -1.550049e+07  2.163732e+03 -1.093535e+03 -4.799909e+03 
 158222 -1.909035e+07 -1.908558e+07 -1.527426e+07  6.753328e+02  8.211519e+02 -5.673510e+04 
 158223 -1.876197e+07 -1.890283e+07 -1.658610e+07  3.869411e+05 -1.224566e+05 -5.583122e+04 
 158224 -1.889749e+07 -1.900358e+07 -1.627243e+07  1.405515e+05 -7.230373e+04 -2.474143e+05 
 158225 -1.904431e+07 -1.905672e+07 -1.571357e+07  5.573548e+04 -5.375347e+04 -6.719269e+04 
 158226 -1.902835e+07 -1.907142e+07 -1.568998e+07  2.750356e+04 -3.595843e+04 -8.436495e+04 
 158227 -1.904886e+07 -1.907727e+07 -1.560885e+07  1.410483e+04 -2.327307e+04 -6.287054e+04 
 158228 -1.905308e+07 -1.907946e+07 -1.556118e+07  7.694605e+03 -1.351925e+04 -4.438723e+04 
 158229 -1.905489e+07 -1.908046e+07 -1.552574e+07  4.244683e+03 -6.774042e+03 -2.901834e+04 
 158230 -1.904846e+07 -1.908097e+07 -1.550906e+07  2.195489e+03 -2.540435e+03 -7.773759e+03 
 158231 -1.908927e+07 -1.908763e+07 -1.528141e+07  7.135494e+02 -5.375996e+02 -5.771276e+04 
 158232 -1.847363e+07 -1.875197e+07 -1.696008e+07  2.991888e+05 -6.126083e+04 -1.450509e+05 
 158233 -1.882628e+07 -1.900480e+07 -1.632927e+07  1.423825e+05 -3.043980e+04 -2.221519e+05 
 158234 -1.899259e+07 -1.906321e+07 -1.578525e+07  7.625469e+04 -4.865493e+04 -8.227424e+04 
 158235 -1.901007e+07 -1.907623e+07 -1.572887e+07  3.337556e+04 -3.501451e+04 -9.807383e+04 
 158236 -1.903989e+07 -1.908048e+07 -1.563426e+07  1.627973e+04 -2.356331e+04 -7.364039e+04 
 158237 -1.904873e+07 -1.908198e+07 -1.557796e+07  8.343487e+03 -1.415250e+04 -5.242676e+04 
 158238 -1.905249e+07 -1.908270e+07 -1.553743e+07  4.414614e+03 -7.584799e+03 -3.439904e+04 
 158239 -1.904683e+07 -1.908309e+07 -1.551783e+07  2.212714e+03 -3.509086e+03 -1.081949e+04 
 158240 -1.908801e+07 -1.908952e+07 -1.528876e+07  8.032219e+02 -1.534312e+03 -5.872670e+04 
 158241 -1.776489e+07 -1.872478e+07 -1.824039e+07  1.116802e+06 -4.908534e+05 -8.415780e+05 
 158242 -1.865055e+07 -1.904781e+07 -1.642122e+07  3.013297e+05 -4.027932e+04 -1.441166e+05 
 158243 -1.891335e+07 -1.908831e+07 -1.586364e+07  9.612488e+04 -4.776349e+04 -9.615055e+04 
 158244 -1.898399e+07 -1.908479e+07 -1.576756e+07  3.910707e+04 -3.285704e+04 -1.104313e+05 
 158245 -1.902831e+07 -1.908450e+07 -1.565975e+07  1.764508e+04 -2.246097e+04 -8.387236e+04 
 158246 -1.904332e+07 -1.908443e+07 -1.559445e+07  8.780781e+03 -1.378074e+04 -6.008731e+04 
 158247 -1.904953e+07 -1.908462e+07 -1.554886e+07  4.591382e+03 -7.733762e+03 -3.956504e+04 
 158248 -1.904482e+07 -1.908496e+07 -1.552640e+07  2.302999e+03 -4.011738e+03 -1.375780e+04 
 158249 -1.908646e+07 -1.909129e+07 -1.529596e+07  7.461018e+02 -2.146722e+03 -5.970052e+04 
 158250 -1.657431e+07 -1.974071e+07 -2.024120e+07  7.550764e+05 -5.386838e+05 -2.578269e+06 
 158251 -1.832673e+07 -1.918778e+07 -1.667338e+07  2.456922e+05 -2.499251e+04 -6.017961e+04 
 158252 -1.882779e+07 -1.911477e+07 -1.593821e+07  8.301278e+04 -3.566948e+04 -1.089233e+05 
 158253 -1.895230e+07 -1.909493e+07 -1.580399e+07  3.593976e+04 -2.713374e+04 -1.199486e+05 
 158254 -1.901531e+07 -1.908867e+07 -1.568340e+07  1.662897e+04 -1.917330e+04 -9.290830e+04 
 158255 -1.903716e+07 -1.908693e+07 -1.560952e+07  8.340546e+03 -1.221252e+04 -6.680948e+04 
 158256 -1.904605e+07 -1.908663e+07 -1.555937e+07  4.415201e+03 -7.038408e+03 -4.418734e+04 
 158257 -1.904254e+07 -1.908661e+07 -1.553435e+07  2.189764e+03 -3.898265e+03 -1.643742e+04 
 158258 -1.908454e+07 -1.909289e+07 -1.530266e+07  7.025743e+02 -2.258153e+03 -6.059224e+04 
 158259 -1.607523e+07 -1.931923e+07 -2.116846e+07  1.173759e+05 -1.739965e+05 -3.657867e+06 
 158260 -1.816538e+07 -1.920957e+07 -1.685388e+07  9.994430e+04 -1.104740e+04 -2.003916e+04 
 158261 -1.876777e+07 -1.912648e+07 -1.598248e+07  5.239521e+04 -2.170924e+04 -1.110086e+05 
 158262 -1.892595e+07 -1.910062e+07 -1.583282e+07  2.539801e+04 -2.004788e+04 -1.266448e+05 
 158263 -1.900339e+07 -1.909205e+07 -1.570233e+07  1.311257e+04 -1.475628e+04 -9.979739e+04 
 158264 -1.903104e+07 -1.908932e+07 -1.562210e+07  6.977125e+03 -9.863133e+03 -7.224576e+04 
 158265 -1.904243e+07 -1.908832e+07 -1.556836e+07  3.767884e+03 -5.843674e+03 -4.807396e+04 
 158266 -1.904010e+07 -1.908793e+07 -1.554128e+07  1.834784e+03 -3.276896e+03 -1.873172e+04 
 158267 -1.908241e+07 -1.909417e+07 -1.530858e+07  6.564055e+02 -2.027942e+03 -6.136192e+04 
 158268 -1.599596e+07 -1.904739e+07 -2.124179e+07 -1.178733e+04 -1.444591e+04 -3.789740e+06 
 158269 -1.813310e+07 -1.913723e+07 -1.691661e+07  1.964492e+04 -1.282721e+04 -1.041613e+04 
 158270 -1.873759e+07 -1.911985e+07 -1.600643e+07  2.228266e+04 -1.435171e+04 -1.091942e+05 
 158271 -1.890913e+07 -1.910048e+07 -1.585302e+07  1.386225e+04 -1.380550e+04 -1.309404e+05 
 158272 -1.899440e+07 -1.909340e+07 -1.571613e+07  8.337126e+03 -1.062430e+04 -1.045058e+05 
 158273 -1.902581e+07 -1.909054e+07 -1.563188e+07  4.888629e+03 -7.330675e+03 -7.637568e+04 
 158274 -1.903904e+07 -1.908958e+07 -1.557560e+07  2.736812e+03 -4.561388e+03 -5.115027e+04 
 158275 -1.903754e+07 -1.908949e+07 -1.554698e+07  1.449714e+03 -2.609057e+03 -2.057523e+04 
 158276 -1.908021e+07 -1.909586e+07 -1.531350e+07  5.308377e+02 -1.737894e+03 -6.198722e+04 
 158277 -1.599142e+07 -1.901066e+07 -2.124856e+07 -1.068812e+04 -5.557351e+02 -3.781312e+06 
 158278 -1.813013e+07 -1.909755e+07 -1.694139e+07 -3.830618e+03 -4.284487e+03 -8.103767e+03 
 158279 -1.872812e+07 -1.910474e+07 -1.602138e+07  3.738309e+03 -7.531949e+03 -1.081161e+05 
 158280 -1.890058e+07 -1.909627e+07 -1.586588e+07  4.678551e+03 -8.281153e+03 -1.331527e+05 
 158281 -1.898857e+07 -1.909270e+07 -1.572558e+07  3.776569e+03 -6.962321e+03 -1.074907e+05 
 158282 -1.902194e+07 -1.909117e+07 -1.563896e+07  2.472040e+03 -4.995872e+03 -7.928746e+04 
 158283 -1.903612e+07 -1.909044e+07 -1.558108e+07  1.513551e+03 -3.188259e+03 -5.342573e+04 
 158284 -1.903517e+07 -1.909043e+07 -1.555143e+07  1.039066e+03 -1.906665e+03 -2.200451e+04 
 158285 -1.907812e+07 -1.909681e+07 -1.531737e+07  3.217417e+02 -1.162435e+03 -6.250446e+04 
 158286 -1.598720e+07 -1.899895e+07 -2.124908e+07 -8.892866e+03  7.238401e+03 -3.772063e+06 
 158287 -1.813143e+07 -1.908186e+07 -1.694877e+07 -7.663477e+03  9.812303e+02 -4.402551e+03 
 158288 -1.872681e+07 -1.909428e+07 -1.602851e+07 -3.743369e+03 -3.050725e+03 -1.064092e+05 
 158289 -1.889743e+07 -1.909162e+07 -1.587304e+07 -7.910253e+02 -4.369464e+03 -1.338150e+05 
 158290 -1.898532e+07 -1.909081e+07 -1.573156e+07  2.873962e+02 -4.108508e+03 -1.091392e+05 
 158291 -1.901933e+07 -1.909035e+07 -1.564378e+07  3.979760e+02 -3.078972e+03 -8.115864e+04 
